name,Battles,Wins,Losses,Win Rate (%)
Ink,0,0,0,0.0
Ino Yamanaka,0,0,0,0.0
Invincible,0,0,0,0.0
Invisible Woman (FOX),0,0,0,0.0
Iron Baron,0,0,0,0.0
Iron Destroyer,0,0,0,0.0
Iron Fist (MCU),0,0,0,0.0
Iron Fist,0,0,0,0.0
Iron Man (MCU),1,1,0,100.0
Iron Man (Model 45),1,1,0,100.0
Iron Man (Sorceror Supreme),0,0,0,0.0
Iron Man (Thorbuster),0,0,0,0.0
Iron Man (Wild West),0,0,0,0.0
Iron Man,0,0,0,0.0
Iron Monger (MCU),0,0,0,0.0
Iron Monger,0,0,0,0.0
IT,0,0,0,0.0
Itachi Uchiha,0,0,0,0.0
Jack Frost,0,0,0,0.0
Jack-Jack,0,0,0,0.0
Jack Kirby,0,0,0,0.0
Jack of Hearts,0,0,0,0.0
Jack Sparrow,0,0,0,0.0
Jacob Frye,0,0,0,0.0
Jaime Lannister,0,0,0,0.0
James Bond (Craig),0,0,0,0.0
James Gordon,0,0,0,0.0
James T. Kirk,0,0,0,0.0
Jane Foster (MCU),1,1,0,100.0
Jango Fett,0,0,0,0.0
Jar Jar Binks,0,0,0,0.0
Jay (The LEGO Ninjago Movie),2,1,1,50.0
Jay,0,0,0,0.0
Jean Grey,0,0,0,0.0
Jemma Simmons (MCU),0,0,0,0.0
Jennifer Kale,0,0,0,0.0
Jerome Valeska,0,0,0,0.0
Jesse Custer,0,0,0,0.0
Jesse Quick (CW),0,0,0,0.0
Jesse Quick,0,0,0,0.0
Jessica Jones,0,0,0,0.0
Jestro,1,1,0,100.0
Jigsaw (MCU),0,0,0,0.0
Jim Powell,0,0,0,0.0
Jimmy Neutron,0,0,0,0.0
Jiraiya,0,0,0,0.0
JJ Powell,0,0,0,0.0
Joe Wilson (CW),0,0,0,0.0
Johann Krauss,0,0,0,0.0
John Constantine (Power Of Shazam),0,0,0,0.0
John Constantine,2,1,1,50.0
John Pilgrim (MCU),0,0,0,0.0
John Wraith,0,0,0,0.0
Johnny Quick,0,0,0,0.0
Joker (Gotham),0,0,0,0.0
Joker,0,0,0,0.0
Jolt,0,0,0,0.0
Jonah Hex (CW),0,0,0,0.0
Jonah Hex,0,0,0,0.0
Jor-El,0,0,0,0.0
Jubilee,0,0,0,0.0
Juggernaut (FOX),0,0,0,0.0
Juggernaut,0,0,0,0.0
Junkpile,0,0,0,0.0
Justice,0,0,0,0.0
Justin Hammer,0,0,0,0.0
Kabuto Yakushi,0,0,0,0.0
Kaecilius (MCU),0,0,0,0.0
Kaguya Ōtsutsuki,0,0,0,0.0
Kai (The LEGO Ninjago Movie),0,0,0,0.0
Kakashi Hatake,0,0,0,0.0
Kale,0,0,0,0.0
Kang,0,0,0,0.0
Kanto,0,0,0,0.0
Kapau,0,0,0,0.0
Kapau'rai,0,0,0,0.0
Karlof,0,0,0,0.0
Karnak (MCU),0,0,0,0.0
Karnak,0,0,0,0.0
Katana (CW),0,0,0,0.0
Katana (DCEU),0,0,0,0.0
Katana,0,0,0,0.0
Kathryn Janeway,1,0,1,0.0
Kefla,0,0,0,0.0
Kelex,0,0,0,0.0
Kenshiro,0,0,0,0.0
Kevin 11,0,0,0,0.0
KGBeast,0,0,0,0.0
Khanjikhan,0,0,0,0.0
